Source,Target,Weight
day,turkey,1
day,comedy,1
school,author,1
green,man,1
wit,money,1
treacherous,friend,1
triumphant,widow,1
school,friend,1
school,act,1
careless,husband,1
chuse,man,1
chuse,wife,1
good,wife,1
love,sight,1
spark,town,1
choleric,man,1
fashionable,lover,1
wake,country,1
rival,lady,1
own,cuckold,1
fond,husband,1
new,wit,1
wit,husband,1
man,mode,1
wit,money,1
honourable,man,1
priveledge,lady,1
wit,constable,1
wife,right,1
wary,widow,1
suspicious,husband,1
dumb,lady,1
find,friend,1
humorous,lover,1
school,friend,1
school,act,1
jealous,wife,1
ridiculous,lover,1
school,greybeard,1
town,you,1
choleric,man,1
first,love,1
modish,lover,1
deserted,daughter,1
credulous,cuckold,1
reclaim'd,lady,1
virtuous,wife,1
modish,wife,1
school,arrogance,1
marriage,art,1
generous,friend,1
jealous,husband,1
daughter,act,1
find,friend,1
royal,cuckold,1
laughable,lover,1
school,rake,1
school,child,1
school,reform,1
rule,husband,1
school,guardian,1
married,man,1
virgin,widow,1
jealous,lover,1
careless,lover,1
school,wife,1
sullen,lover,1
TRUE,widow,1
school,scandal,1
lady,pleasure,1
excuse,wife,1
make,cuckold,1
school,lover,1
rule,wife,1
have,wife,1
love,wood,1
